FromName,ToName,ParentName,Include,Description,DataType,DataLength,TableName,SortOrder,TableIncluded,,
Morse.Name,Name,,TRUE,,TEXT,50,Morse,3,FALSE,,
Morse.Description,Description,,TRUE,,TEXT,500,Morse,4,FALSE,,
Samuel,Samuel,,FALSE,,,,Samuel,5,FALSE,,
Samuel.SamuelId,SamuelId,,TRUE,,GUID,,Samuel,6,FALSE,,
Samuel.Name,Name,,TRUE,,TEXT,50,Samuel,7,FALSE,,
Samuel.Description,Description,,TRUE,,TEXT,500,Samuel,8,FALSE,,
F.,F.,,FALSE,,,,F.,9,FALSE,,
B.,B.,,FALSE,,,,B.,13,FALSE,,
International,International,,FALSE,,,,International,17,FALSE,,
International.InternationalId,InternationalId,,TRUE,,GUID,,International,18,FALSE,,
International.Name,Name,,TRUE,,TEXT,50,International,19,FALSE,,
International.Description,Description,,TRUE,,TEXT,500,International,20,FALSE,,
Roman,Roman,,FALSE,,,,Roman,21,FALSE,,
Roman.RomanId,RomanId,,TRUE,,GUID,,Roman,22,FALSE,,
Roman.Name,Name,,TRUE,,TEXT,50,Roman,23,FALSE,,
Roman.Description,Description,,TRUE,,TEXT,500,Roman,24,FALSE,,
English,English,,FALSE,,,,English,25,FALSE,,
English.EnglishId,EnglishId,,TRUE,,GUID,,English,26,FALSE,,
English.Name,Name,,TRUE,,TEXT,50,English,27,FALSE,,
English.Description,Description,,TRUE,,TEXT,500,English,28,FALSE,,
Aeronautical,Aeronautical,,FALSE,,,,Aeronautical,29,FALSE,,
Aeronautical.AeronauticalId,AeronauticalId,,TRUE,,GUID,,Aeronautical,30,FALSE,,
Aeronautical.Name,Name,,TRUE,,TEXT,50,Aeronautical,31,FALSE,,
Aeronautical.Description,Description,,TRUE,,TEXT,500,Aeronautical,32,FALSE,,
Text,TextMessage,,FALSE,,,,Text,41,FALSE,,
Text.TextId,TextMessageId,,TRUE,,GUID,,Text,42,FALSE,,
Text.Name,Name,,TRUE,,TEXT,50,Text,43,FALSE,,
Text.Description,Description,,TRUE,,TEXT,500,Text,44,FALSE,,
Information,Information,,FALSE,,,,Information,45,FALSE,,
Information.InformationId,InformationId,,TRUE,,GUID,,Information,46,FALSE,,
Information.Name,Name,,TRUE,,TEXT,50,Information,47,FALSE,,
Information.Description,Description,,TRUE,,TEXT,500,Information,48,FALSE,,
Series,Series,,FALSE,,,,Series,49,FALSE,,
Series.SeriesId,SeriesId,,TRUE,,GUID,,Series,50,FALSE,,
Series.Name,Name,,TRUE,,TEXT,50,Series,51,FALSE,,
Series.Description,Description,,TRUE,,TEXT,500,Series,52,FALSE,,
Inventor,Inventor,,FALSE,,,,Inventor,65,FALSE,,
Inventor.InventorId,InventorId,,TRUE,,GUID,,Inventor,66,FALSE,,
Inventor.Name,Name,,TRUE,,TEXT,50,Inventor,67,FALSE,,
Inventor.Description,Description,,TRUE,,TEXT,500,Inventor,68,FALSE,,
ISO,ISO,,FALSE,,,,ISO,73,FALSE,,
ISO.ISOId,ISOId,,TRUE,,GUID,,ISO,74,FALSE,,
ISO.Name,Name,,TRUE,,TEXT,50,ISO,75,FALSE,,
ISO.Description,Description,,TRUE,,TEXT,500,ISO,76,FALSE,,
Set,Set,,FALSE,,,,Set,81,FALSE,,
Set.SetId,SetId,,TRUE,,GUID,,Set,82,FALSE,,
Set.Name,Name,,TRUE,,TEXT,50,Set,83,FALSE,,
Set.Description,Description,,TRUE,,TEXT,500,Set,84,FALSE,,
Radio,Radio,,FALSE,,,,Radio,89,FALSE,,
Radio.RadioId,RadioId,,TRUE,,GUID,,Radio,90,FALSE,,
Radio.Name,Name,,TRUE,,TEXT,50,Radio,91,FALSE,,
Radio.Description,Description,,TRUE,,TEXT,500,Radio,92,FALSE,,
Practice,Practice,,FALSE,,,,Practice,93,FALSE,,
Practice.PracticeId,PracticeId,,TRUE,,GUID,,Practice,94,FALSE,,
Practice.Name,Name,,TRUE,,TEXT,50,Practice,95,FALSE,,
Practice.Description,Description,,TRUE,,TEXT,500,Practice,96,FALSE,,
Letter,Letter,,FALSE,,,,Letter,105,FALSE,,
Letter.LetterId,LetterId,,TRUE,,GUID,,Letter,106,FALSE,,
Letter.Name,Name,,TRUE,,TEXT,50,Letter,107,FALSE,,
Letter.Description,Description,,TRUE,,TEXT,500,Letter,108,FALSE,,
Prosign,Prosign,,FALSE,,,,Prosign,113,FALSE,,
Prosign.ProsignId,ProsignId,,TRUE,,GUID,,Prosign,114,FALSE,,
Prosign.Name,Name,,TRUE,,TEXT,50,Prosign,115,FALSE,,
Prosign.Description,Description,,TRUE,,TEXT,500,Prosign,116,FALSE,,
Time,Time,,FALSE,,,,Time,133,FALSE,,
Time.TimeId,TimeId,,TRUE,,GUID,,Time,134,FALSE,,
Time.Name,Name,,TRUE,,TEXT,50,Time,135,FALSE,,
